Negative strategy,tau_hat (neg),post months (neg),Positive strategy,tau_hat (pos),post months (pos)
PatentsRD,-5.541945413732429,48,BetaFP,1.7342747503003755,120.0
OptionVolume1,-2.548851953363736,120,IO_ShortInterest,1.7124192618009626,120.0
MaxRet,-2.284351311528819,120,NetDebtPrice,0.9535460265394993,120.0
RealizedVol,-1.8783017834150146,120,RDcap,0.9103639551502558,120.0
FEPS,-1.80695469755958,120,GP,0.8696131572223039,120.0
IdioVol3F,-1.6561316152026542,120,OrderBacklogChg,0.7682699772882634,120.0
Frontier,-1.514549504427206,120,CompEquIss,0.7211891023885744,120.0
DelDRC,-1.4546726386005142,120,cfp,0.7116117447968884,120.0
CashProd,-1.4358013742114581,120,IndMom,0.6756460888701835,120.0
MomOffSeason,-1.4072273751342073,120,OPLeverage,0.6565095898264487,120.0
TrendFactor,-1.3164211285736847,103,PS,0.6207218790319324,120.0
EntMult,-1.2994677452310601,120,DelLTI,0.6111473359457207,120.0
Recomm_ShortInterest,-0.9888507548882676,120,CoskewACX,0.5801834283353063,120.0
MeanRankRevGrowth,-0.9717971205790934,120,Cash,0.557382650803068,120.0
betaVIX,-0.966249114293225,120,skew1,0.5526864275280102,120.0
XFIN,-0.9593208075773892,120,BPEBM,0.5436727686229591,120.0
std_turn,-0.9158415230546125,120,sfe,0.5338068410929596,120.0
IntanBM,-0.8614888478333097,120,Activism2,0.5186407682853056,21.0
ShareVol,-0.8075727154265343,120,OperProfRD,0.5129242417627139,103.0
ConsRecomm,-0.7866328872965833,120,EarningsConsistency,0.4862378455186544,120.0
roaq,-0.7762824842329773,120,TotalAccruals,0.4471600377046503,120.0
OptionVolume2,-0.7442020142344998,120,BetaLiquidityPS,0.44703326004871186,120.0
Mom6mJunk,-0.7441540751333944,120,tang,0.4431748311309839,120.0
MomRev,-0.7372955554487386,120,ShortInterest,0.43830198253983366,120.0
MomSeasonShort,-0.73423741177362,120,Leverage,0.4319980541082061,120.0
IntMom,-0.7319081832986981,120,RoE,0.41248510073893097,120.0
CPVolSpread,-0.718618734527283,120,CustomerMomentum,0.4014242738561448,120.0
IntanCFP,-0.6761411017928716,120,BetaTailRisk,0.3974107587430287,120.0
BookLeverage,-0.661985819875671,120,Mom6m,0.3954573214839679,120.0
CF,-0.6252294530676702,120,MRreversal,0.394719885553786,120.0
REV6,-0.6187847074900816,120,RDAbility,0.3640173766124012,120.0
PriceDelayRsq,-0.5990748089020478,120,Herf,0.34697709405153226,120.0
Size,-0.5776170990944112,120,realestate,0.34281777077375825,120.0
Accruals,-0.5749469251153178,120,ExclExp,0.3192218406606195,120.0
NOA,-0.5477249618966152,120,MS,0.31700093933432955,120.0
Beta,-0.5361002454916897,120,VolumeTrend,0.28637300300219953,120.0
EarningsSurprise,-0.5332418837567025,120,OScore,0.2847367740602703,120.0
ProbInformedTrading,-0.526189353042658,120,PriceDelayTstat,0.26807612220140453,120.0
RIO_Disp,-0.5098503700988312,120,PriceDelaySlope,0.2647261599895816,120.0
ChNAnalyst,-0.5083849233795041,120,HerfBE,0.26298500254432233,120.0
NetEquityFinance,-0.5063339918285857,120,Mom12mOffSeason,0.2615311222383396,120.0
SmileSlope,-0.5005208521497683,120,HerfAsset,0.25002402915714667,120.0
MomSeason,-0.49844122522021017,120,ChInvIA,0.2486514848533868,120.0
IndRetBig,-0.4881243072268706,120,CompositeDebtIssuance,0.24778617390986574,120.0
Mom12m,-0.46264692544666736,120,Activism1,0.24155856064534675,21.0
Spinoff,-0.4382446147136711,120,ChForecastAccrual,0.2377562523467283,120.0
hire,-0.43631921230397225,120,Illiquidity,0.23029691617064244,120.0
PctAcc,-0.41069954341045567,120,iomom_cust,0.22635508740451976,120.0
ShareIss1Y,-0.41030051581586674,120,VarCF,0.21593157733564247,120.0
AgeIPO,-0.3973556629962533,120,VolMkt,0.2132550113168054,120.0
EarnSupBig,-0.3854591716552766,120,RDIPO,0.209077023581038,120.0
retConglomerate,-0.3774838131937963,120,DelNetFin,0.19840984994654207,120.0
FR,-0.3706037181305775,120,LRreversal,0.19514368650292288,120.0
PayoutYield,-0.36784445009496897,120,IndIPO,0.1890687907998334,120.0
ChEQ,-0.3506546380821629,120,Tax,0.18751738435334292,120.0
STreversal,-0.33876283393827133,120,High52,0.18059430948119518,120.0
zerotrade12M,-0.33522264813635066,120,AccrualsBM,0.17730928151220485,120.0
ChInv,-0.3280656386699378,120,MomSeason16YrPlus,0.17635080038009907,120.0
AssetGrowth,-0.32725009460994403,120,DelFINL,0.17346491554778812,120.0
ChangeInRecommendation,-0.32644995537246435,120,ChNNCOA,0.16718912438484118,120.0
AOP,-0.323824367611317,120,AnalystValue,0.15515008888894782,120.0
GrSaleToGrOverhead,-0.3221591489674343,120,MomOffSeason06YrPlus,0.1233173584762383,120.0
UpRecomm,-0.3201354529536722,120,NetDebtFinance,0.12314289623953603,120.0
ReturnSkew,-0.31432625924848867,115,MomOffSeason16YrPlus,0.11825306268074173,120.0
MomVol,-0.3118014570331032,120,RevenueSurprise,0.11663002671480809,120.0
fgr5yrLag,-0.30604773515213995,120,ChAssetTurnover,0.11619392507332359,120.0
ReturnSkew3F,-0.30222592273513893,115,DebtIssuance,0.11505044819759208,120.0
DivInit,-0.2952340344002149,120,sinAlgo,0.11041964960737521,120.0
NetPayoutYield,-0.2949973585823192,120,PctTotAcc,0.10256269614726997,120.0
RIVolSpread,-0.2944655543357022,120,GrLTNOA,0.10219299874263801,120.0
zerotrade1M,-0.29355563593903494,120,Investment,0.08636953106032842,120.0
FirmAge,-0.2896916913462058,120,iomom_supp,0.0833419744352994,120.0
AbnormalAccruals,-0.28048946900627963,120,MomOffSeason11YrPlus,0.080816857911216,120.0
EquityDuration,-0.273973944892508,120,ChNWC,0.07633089717623018,120.0
ResidualMomentum,-0.2717664383326044,120,Governance,0.07550602048076006,45.0
DelCOL,-0.26334200853016754,120,dVolCall,0.0707584195498609,104.0
DelCOA,-0.258829962541317,120,DivYieldST,0.06955489631464155,120.0
DelBreadth,-0.2518603395255382,120,SurpriseRD,0.06029299627046812,120.0
zerotrade6M,-0.25150034259136594,120,AM,0.04028627627702585,120.0
IntanEP,-0.2512362122141522,120,VolSD,0.03854902080766838,120.0
OrgCap,-0.24613071709470724,120,Price,0.032254537052727746,120.0
grcapx3y,-0.24428663088713096,120,AnalystRevision,0.02809673745575258,120.0
OperProf,-0.23572704298270988,120,RIO_MB,0.02373514357937155,120.0
RD,-0.23532995479167282,120,NumEarnIncrease,0.022453042131978882,120.0
GrSaleToGrInv,-0.23097622842676674,120,CBOperProf,0.020051437702979416,103.0
GrAdExp,-0.22772693453875598,120,BidAskSpread,0.01647579356024552,120.0
dNoa,-0.22074181585182817,120,ConvDebt,0.011257786217639324,103.0
PredictedFE,-0.21630341908003464,120,AdExp,0.004564701988475724,120.0
DolVol,-0.2104969584453599,120,,,
RIO_Turnover,-0.19151826962402216,120,,,
IntanSP,-0.1841330452053351,120,,,
ChTax,-0.18187385509225465,120,,,
BrandInvest,-0.16349968325106623,120,,,
ForecastDispersion,-0.15509059201420833,120,,,
RIO_Volatility,-0.15237821233371027,120,,,
MomSeason11YrPlus,-0.1453040720685049,120,,,
EarningsForecastDisparity,-0.1437701986528456,120,,,
DivSeason,-0.14189236160616822,120,,,
ShareRepurchase,-0.14075413500849407,120,,,
MomSeason06YrPlus,-0.1397073642096606,120,,,
DownRecomm,-0.1331150416814256,120,,,
DivOmit,-0.12944184788156407,119,,,
grcapx,-0.12390491839808374,120,,,
InvestPPEInv,-0.11900170446398492,120,,,
FirmAgeMom,-0.11815013611916687,120,,,
BMdec,-0.116331337479841,120,,,
Coskewness,-0.11630160660908376,120,,,
OrderBacklog,-0.11620837640161016,120,,,
CredRatDG,-0.11604864409598188,120,,,
InvGrowth,-0.09366323816551606,120,,,
EP,-0.07373581050529594,120,,,
EBM,-0.06756623948650757,120,,,
dVolPut,-0.06574342296614859,104,,,
BM,-0.06461032274643232,120,,,
dCPVolSpread,-0.058804026260269475,104,,,
ShareIss5Y,-0.05208770482511795,120,,,
RDS,-0.04759972251349301,120,,,
DelEqu,-0.04140301689303595,120,,,
IdioVolAHT,-0.02890191038112529,120,,,
CitationsRD,-0.028337601993314927,120,,,
AnnouncementReturn,-0.02762433521692338,120,,,
EarningsStreak,-0.018880225719287224,120,,,
SP,-0.01085821360848982,120,,,
ExchSwitch,-0.008186566494574254,120,,,
